date,Bangalore traffic,rain in Bengaluru,Bangalore metro,tech layoffs,startups in Bangalore
2025-06-26 16:00:00,9,0,43,0,0
2025-06-26 17:00:00,6,0,41,0,0
2025-06-26 18:00:00,8,0,41,0,0
2025-06-26 19:00:00,0,0,33,0,0
2025-06-26 20:00:00,0,0,34,0,0
2025-06-26 21:00:00,0,0,27,0,0
2025-06-26 22:00:00,0,0,64,0,0
2025-06-26 23:00:00,0,0,57,0,0
2025-06-27 00:00:00,0,0,49,0,0
2025-06-27 01:00:00,10,0,41,0,0
2025-06-27 02:00:00,12,0,34,0,0
2025-06-27 03:00:00,8,0,46,0,0
2025-06-27 04:00:00,13,0,53,0,0
2025-06-27 05:00:00,10,0,59,0,0
2025-06-27 06:00:00,9,0,52,0,0
2025-06-27 07:00:00,8,0,52,0,0
2025-06-27 08:00:00,7,0,49,0,0
2025-06-27 09:00:00,6,0,48,0,0
2025-06-27 10:00:00,8,0,50,0,0
2025-06-27 11:00:00,8,0,60,0,0
2025-06-27 12:00:00,11,0,66,0,0
2025-06-27 13:00:00,13,0,63,0,0
2025-06-27 14:00:00,10,0,63,0,0
2025-06-27 15:00:00,10,0,57,0,0
2025-06-27 16:00:00,8,0,54,0,0
2025-06-27 17:00:00,4,0,65,0,0
2025-06-27 18:00:00,0,0,40,0,0
2025-06-27 19:00:00,0,0,47,0,0
2025-06-27 20:00:00,0,0,32,0,0
2025-06-27 21:00:00,0,0,44,0,0
2025-06-27 22:00:00,0,0,62,0,0
2025-06-27 23:00:00,0,0,100,0,0
2025-06-28 00:00:00,0,0,60,0,0
2025-06-28 01:00:00,0,0,42,0,0
2025-06-28 02:00:00,0,0,58,0,0
2025-06-28 03:00:00,6,0,63,0,0
2025-06-28 04:00:00,8,0,57,0,5
2025-06-28 05:00:00,8,0,58,0,0
2025-06-28 06:00:00,10,0,59,0,0
2025-06-28 07:00:00,10,0,61,0,0
2025-06-28 08:00:00,9,0,59,0,0
2025-06-28 09:00:00,8,0,65,0,0
2025-06-28 10:00:00,12,0,64,0,0
2025-06-28 11:00:00,8,0,65,0,0
2025-06-28 12:00:00,10,0,66,0,0
2025-06-28 13:00:00,8,0,70,0,0
2025-06-28 14:00:00,9,0,61,0,0
2025-06-28 15:00:00,4,0,56,0,0
